name,D_Mpc,n_points,Rmax_kpc,Nosc_Rmax_over_lambda0,chi2_reduced,R_squared,RMSE_km_s,V_max_fixed,A,zeta,lambda0_kpc,phi0_rad,Rc_kpc,success
D631-7,7.72,16,7.19,0.8085525295501756,0.20935129056068963,0.9981272570773304,0.6575218439604915,58.05,0.09233443878851785,0.01,8.892433994362783,0.3018126661215557,2.5721706821509773,False
DDO064,6.8,14,2.98,0.8228488528883887,0.18355609632611314,0.9940756563176539,1.0956304819384193,46.4,0.9075110943502936,0.7628255749325583,3.621564263642727,6.262494172586516,0.49355139675007176,True
DDO154,4.04,12,5.92,0.8878436896969439,0.36523258452074797,0.9977121449461025,0.5196194682286052,47.4,0.07898810348159352,0.01,6.6678403740423375,0.5559376736583004,1.6927412849442056,False
DDO161,7.5,31,13.37,0.6876095303130623,0.1625850334490176,0.9984731447915302,0.6808560077021111,66.69999999999999,0.3257621558341754,0.9196980485774962,19.44417494317271,6.2831852744500685,2.2645266252436005,True
DDO168,4.25,10,4.12,1.0414638571571138,0.638004034581614,0.9964397945164088,0.8283218604316259,53.849999999999994,0.4666988042183379,0.3332802330492859,3.955970216044149,5.853097749272663,1.17442529195258,True
ESO079-G014,28.7,15,16.67,0.6469327006440947,0.6588236703366315,0.9873503720476482,5.576137203239052,176.0,0.14612149377565986,0.99,25.76774985002788,0.27704337764950226,2.559107039663597,False
ESO116-G012,13.0,15,9.86,0.8711072547181571,0.892625866172348,0.99232762979934,2.4743373778874873,110.5,0.1213415248312081,0.99,11.318927659706105,0.012943782355655327,1.4462824352382482,False
ESO563-G021,60.8,30,42.41,1.6939888252915618,1.469796604050791,0.9950503624755977,6.175168410004886,314.0,0.14803445483917274,0.99,25.035584277068992,0.7199281979527805,3.1296730306418907,False
F563-1,48.9,17,20.1,1.1665561634637491,0.42582666748039666,0.9581899742886973,5.12203149751255,111.5,0.21020964056500346,0.99,17.230203422284358,2.6200142870265752,4.615993496864323,False
F563-V2,59.7,10,10.47,0.4999999999999999,0.08160102910175174,0.9949464139860779,2.6230784856965816,117.5,0.0821680324048138,0.99,20.940000000000005,2.9187617720919534,2.7501192894275124,False
F568-1,90.7,12,13.23,0.5,0.10926600977080422,0.9910865394308882,3.5277788647649246,131.5,0.04870243552743026,0.99,26.46,1.7409581054541605,2.6620014616149854,False
F568-3,82.4,18,17.98,0.8416623087285856,0.4822242184180724,0.9659019392252431,5.761858905250338,107.0,0.0816082537255698,0.99,21.362486847201907,2.010536432706477,4.360849688071025,True
F568-V1,80.6,15,17.63,0.5000000000000001,0.09226854080070399,0.9918877559040162,2.5419839111875504,112.0,0.047540022316584295,0.99,35.25999999999999,2.646580165381505,2.3791959284864825,False
F571-8,53.3,13,15.55,0.5,0.26022437313621744,0.9976348301123453,1.9133809333417182,137.5,0.2898661692683704,0.9061613513861414,31.1,1.1835358478376425,0.8701839598266289,False
F574-1,96.8,14,12.6,0.5000000000252691,0.07990120995691513,0.9988954338540937,0.8101105496773409,99.15,0.030614301904664916,0.010000280142968427,25.199999998726433,1.8729932780200642,2.906491167024638,True
F579-V1,89.5,14,15.16,0.5000000401200144,0.04869213226181672,0.9980666385237482,0.877469163535252,114.0,0.08660471860502719,0.6417090893267525,30.319997567122524,0.9180662958174604,1.1161034143960906,True
F583-1,35.4,25,16.26,0.5000000264724365,0.1550061515183232,0.9906316392351157,2.365435751307422,80.3,0.19494571728772822,0.17184146056612004,32.519998278232826,2.3625224804088236,3.507430921348804,True
F583-4,53.3,12,7.29,0.4999999999999999,0.19224674805959255,0.9939996196989633,1.3621016564945312,65.80000000000001,0.1590524139525297,0.09868336376886616,14.580000000000004,0.6329762960558791,1.4743150764479132,False
IC2574,3.91,34,10.23,0.6029594986803053,0.6869611465685457,0.9866073439417172,1.90251898020886,63.8,0.19696505254591884,0.01,16.966313695016588,0.39221656294136453,4.150832387668129,True
IC4202,100.4,32,25.9,0.92134191778336,1.385986699118711,0.9902673949247814,5.039925479079658,244.0,0.06804008595301438,0.99,28.111170782625784,2.0027063213112037,3.120362157929843,True
KK98-251,6.8,15,3.13,0.7065760432900696,0.19922509163683233,0.9967165242620668,0.5758185730340528,33.75,0.2220432874408398,0.03783606661716904,4.429813365063448,1.1269209886287694,1.5337090392311783,False
NGC0024,7.3,29,11.27,0.5000003021562769,0.2540542552174098,0.9902567051518185,2.4805908450663257,107.0,0.017754897248348757,0.989998820788012,22.539986378803267,3.82482673077573,1.1703843331967936,True
NGC0055,2.11,21,13.5,0.6673515814297916,0.18967911506362056,0.9964517903850635,1.0660724777497033,86.15,0.12848854975098456,0.99,20.229217065877684,0.5099570211793953,1.4827791880613916,False
NGC0100,13.5,21,9.62,0.5000001779882975,0.1531593099464217,0.9958788542445544,1.5143101237473608,88.25,0.04307867618837581,0.010000726010878282,19.239993151012747,1.7996904872414228,2.8080612644289125,True
NGC0247,3.7,26,14.54,1.0888395656953807,0.2953328137037543,0.9968311665500845,1.1093607196734894,105.0,0.25909693306646925,0.2502255689449451,13.353666102970935,4.951461014029589,3.6553695838655185,True
NGC0289,20.8,28,71.12,2.1244023217518038,2.358246414349541,-0.01511216510067026,9.575232954148087,166.0,0.11266318888806488,0.049176615301508506,33.47765123008985,3.0544807183015865,0.05002474969236299,True
NGC0300,2.08,25,11.8,0.5000000754333339,0.4486270001495227,0.9664639831043981,2.9947577568400208,93.7,0.10537441185045754,0.1953904415160703,23.59999643954718,1.150886832460938,2.169822713634394,True
NGC0801,80.7,13,59.82,2.19504677321511,4.559797694649721,0.9340828412501913,8.497698645054278,216.0,0.1519445408437612,0.99,27.252266662354973,2.9290366301329525,1.7757985353023713,False
NGC0891,9.91,18,17.11,0.7418386641291201,0.886696530808404,0.2736945070416761,7.889113006694204,216.0,0.05068295311701144,0.01,23.064314152574195,2.337117503748876,0.05000000000000001,True
NGC1003,11.4,36,30.24,0.9685559053069414,1.1761839141230588,0.9547628103737479,3.163076734512314,112.0,0.23914398833579925,0.39450282494655214,31.221739327908754,4.663361858122487,4.588737024561655,True
NGC1090,37.0,24,30.09,0.8364245593174956,0.8009175706496552,0.9915536007161707,3.517635587273914,162.0,0.09834748136669884,0.9899998638325058,35.9745534307993,1.9634480111792656,0.9923019899132333,True
NGC1705,5.73,14,6.0,0.500000392885839,0.14731155245688005,0.9112039621647126,1.779804346315042,71.5,0.009779667035924344,0.9899978429870335,11.999990570747274,3.12980475437334,0.23772510653664441,False
NGC2366,3.27,26,6.06,0.6701811487985283,0.2589134550701803,0.994901301907339,1.0336932563255252,50.0,0.1465334289130921,0.99,9.042331332154157,0.8965980436320388,0.3200541614345605,False
NGC2403,3.16,73,20.87,2.4015099358311236,3.605263846226324,0.9883417632256537,2.8371609392062673,134.0,0.15268909351547635,0.99,8.690365877156879,4.692763294298513,2.1608183025182357,True
NGC2683,9.81,11,34.62,0.4999999999999998,0.9637265170508307,0.8821976859569273,7.441298881062645,153.0,0.12420650093968663,0.99,69.24000000000002,3.623578289505349,1.7893622977101495,False
NGC2841,14.1,50,63.64,0.870338662199141,0.9449448254395448,0.936611192905678,4.218079963080342,282.0,0.21797614967841383,0.7385462929920404,73.12096171758783,3.4130579090159534,1.6468777695297787,True
NGC2903,6.6,34,24.96,0.5000000307474114,2.7808775924225753,0.9635351574751045,7.111661351233232,182.0,0.05594743875688762,0.9899992616319074,49.91999693017864,3.830222366551732,1.400283813326491,True
NGC2915,4.06,30,10.04,0.7543984205669493,0.26460156709563204,0.9740336442779352,2.8588759276422677,83.45,0.08985054592081129,0.99,13.308617470930928,2.781385917468346,1.8600264758426666,True
NGC2955,97.9,24,35.43,0.7521081815990273,2.4856013047948036,0.8607761186569238,9.046129663082603,255.5,0.06418000864706438,0.01,47.107584875188685,2.615670265460809,0.857608684315984,True
