,Rmax_kpc,V_max_fixed,A,zeta,lambda0_kpc,Rc_kpc,q_lambda,q_Rc,Nosc,L_damp,q_Ldamp,lambda_over_zeta
Rmax_kpc,1.0,0.7035953112486873,-0.13638191280123232,0.1568290986961306,0.8517488338455297,-0.25616253299892455,-0.14963542884958708,-0.613197602508595,0.16200844805636042,0.12379569834434617,-0.11667274458195494,0.12379569834434613
V_max_fixed,0.7035953112486873,1.0,-0.24249097223096067,0.22829086421085626,0.5819097213304041,-0.3534171632403747,-0.11166849283698099,-0.7017892819750021,0.11493188010839654,0.15966185389306264,-0.08429353307931631,0.1596618538930627
A,-0.13638191280123232,-0.24249097223096067,1.0,-0.08868192211685416,-0.18627148096476215,0.066958550988998,-0.22343922194972174,0.2662613464288815,0.043913077378975124,-0.22617303083947118,-0.24502962119350682,-0.2261730308394711
zeta,0.1568290986961306,0.22829086421085626,-0.08868192211685416,1.0,0.1478293002544739,-0.194390320679075,-0.10962527327755284,-0.3547581553479992,-0.02553988708932158,-0.4561796558428751,-0.5767455897503516,-0.4561796558428752
lambda0_kpc,0.8517488338455297,0.5819097213304041,-0.18627148096476215,0.1478293002544739,1.0,-0.30914291415585204,0.2939808444112356,-0.511083213783114,-0.2620206640171934,0.19820206037385377,-0.02289001919795855,0.19820206037385377
Rc_kpc,-0.25616253299892455,-0.3534171632403747,0.066958550988998,-0.194390320679075,-0.30914291415585204,1.0,-0.08433615138112859,0.562224634217054,0.04058449138306666,-0.05733671853258969,0.14539803896592068,-0.05733671853258971
q_lambda,-0.14963542884958708,-0.11166849283698099,-0.22343922194972174,-0.10962527327755284,0.2939808444112356,-0.08433615138112859,1.0,0.126086769057629,-0.8584995083772982,0.1465527078548504,0.2651857278784404,0.14655270785485036
q_Rc,-0.613197602508595,-0.7017892819750021,0.2662613464288815,-0.3547581553479992,-0.511083213783114,0.562224634217054,0.126086769057629,1.0,-0.15904056370009312,-0.07021982025912038,0.2635872051518952,-0.07021982025912038
Nosc,0.16200844805636042,0.11493188010839654,0.043913077378975124,-0.02553988708932158,-0.2620206640171934,0.04058449138306666,-0.8584995083772982,-0.15904056370009312,1.0,-0.09831289072948085,-0.1938850176385586,-0.09831289072948082
L_damp,0.12379569834434617,0.15966185389306264,-0.22617303083947118,-0.4561796558428751,0.19820206037385377,-0.05733671853258969,0.1465527078548504,-0.07021982025912038,-0.09831289072948085,1.0,0.7413188914570974,1.0000000000000002
q_Ldamp,-0.11667274458195494,-0.08429353307931631,-0.24502962119350682,-0.5767455897503516,-0.02289001919795855,0.14539803896592068,0.2651857278784404,0.2635872051518952,-0.1938850176385586,0.7413188914570974,1.0,0.7413188914570974
lambda_over_zeta,0.12379569834434613,0.1596618538930627,-0.2261730308394711,-0.4561796558428752,0.19820206037385377,-0.05733671853258971,0.14655270785485036,-0.07021982025912038,-0.09831289072948082,1.0000000000000002,0.7413188914570974,1.0
