x,y,corr
L_damp,lambda_over_zeta,1.0
q_lambda,Nosc,-0.999981002137258
zeta,q_Ldamp,-0.9370542437780739
Rmax_kpc,lambda0_kpc,0.8537971762406926
Rmax_kpc,V_max_fixed,0.7818408321879123
Rmax_kpc,q_Rc,-0.7666685635313247
Rc_kpc,q_Rc,0.7653920101636212
V_max_fixed,q_Rc,-0.7607479135932279
zeta,lambda_over_zeta,-0.7247587444668088
zeta,L_damp,-0.7247587444668088
L_damp,q_Ldamp,0.7209797859233504
q_Ldamp,lambda_over_zeta,0.7209797859233503
lambda0_kpc,q_Rc,-0.7064201621163643
V_max_fixed,lambda0_kpc,0.6989825938361117
lambda0_kpc,L_damp,0.5470099520732432
lambda0_kpc,lambda_over_zeta,0.5470099520732432
Nosc,q_Ldamp,-0.489869291228034
q_lambda,q_Ldamp,0.48942970020169174
Rmax_kpc,L_damp,0.4583673185597167
Rmax_kpc,lambda_over_zeta,0.4583673185597167
V_max_fixed,Rc_kpc,-0.38476575177744066
