name,D_Mpc,n_points,Rmax_kpc,lambda0_kpc_fixed,Nosc_Rmax_over_lambda0,chi2_reduced,R_squared,RMSE_km_s,V_max_fixed,A,zeta,phi0_rad,Rc_kpc,success
D631-7,7.72,16,7.19,9.347000000000001,0.7692307692307692,0.11255250919869557,0.9976461594159268,0.7371563761681795,58.05,0.09329092723003778,0.010001520012371309,0.4374814590064748,2.571417945089821,True
DDO064,6.8,14,2.98,3.874,0.7692307692307692,0.08707314024952244,0.9929628787741905,1.194102204899993,46.4,0.8485147732913167,0.8031346362105889,0.08125935074483288,0.4177460771106142,True
DDO154,4.04,12,5.92,7.696,0.7692307692307693,0.38981138428323736,0.9964517401474298,0.6471111300539973,47.4,0.29148627196364046,0.5253445371128261,0.45998577156310083,1.3496142002335827,True
DDO161,7.5,31,13.37,17.381,0.7692307692307692,0.08352114671743019,0.9985632496613105,0.6604607305122837,66.69999999999999,0.4350715904638078,0.7722281313249891,6.1322923686792015,2.5819586468179905,True
DDO168,4.25,10,4.12,5.356000000000001,0.7692307692307692,0.8788409948402429,0.9891371406128099,1.4468838517739624,53.849999999999994,0.7479067262282413,0.6878025887975956,0.021477729922751432,0.7045894143302139,True
ESO079-G014,28.7,15,16.67,21.671000000000003,0.7692307692307692,0.6993634890542242,0.9906261270607909,4.800142234509764,176.0,0.4049252108421474,0.9338919609676092,0.0,3.005673318911358,True
ESO116-G012,13.0,15,9.86,12.818,0.7692307692307692,0.7691986218133088,0.9915405961331593,2.598148802078461,110.5,0.1071251370266822,0.99,0.21526701094910045,1.346644120251322,True
ESO563-G021,60.8,30,42.41,55.132999999999996,0.7692307692307693,1.7697302723815194,0.989547787028,8.973590220925873,314.0,0.11680009460526386,0.99,2.569846241461423,6.461916127209067,True
F563-1,48.9,17,20.1,26.130000000000003,0.7692307692307692,0.4323116933634704,0.9272133401694924,6.758151488502428,111.5,0.08452979979124368,0.99,3.226010200372827,4.652952104767441,True
F563-V2,59.7,10,10.47,13.611,0.7692307692307693,0.03241312964312723,0.9966735988988384,2.12813298100698,117.5,0.18737263736787535,0.9287668385947326,1.8323770806041915,1.90485717338827,True
F568-1,90.7,12,13.23,17.199,0.7692307692307692,0.07684277742574547,0.9889384825811407,3.9299365080402797,131.5,0.06578875855266936,0.99,0.9004248470505477,2.4178438764716383,True
F568-3,82.4,18,17.98,23.374000000000002,0.7692307692307692,0.3681734795580184,0.9646566634336755,5.866128229913317,107.0,0.08212023981908341,0.9899998845043383,2.1351667509941725,4.438552774902571,True
F568-V1,80.6,15,17.63,22.919,0.7692307692307692,0.04293757356767086,0.9924805538394211,2.447345133863261,112.0,0.07029163130778755,0.99,1.7119361458377718,1.450866210450622,False
